Company,ID,Title,Difficulty,Acceptance,Frequency,LeetCodeLink
Amazon,133,Clone Graph,Medium,34.8%,2.032877757580115,https://leetcode.com/problems/clone-graph
Amazon,706,Design HashMap,Easy,61.3%,1.9992790950371089,https://leetcode.com/problems/design-hashmap
Amazon,336,Palindrome Pairs,Hard,33.7%,1.9947738093111118,https://leetcode.com/problems/palindrome-pairs
Amazon,682,Baseball Game,Easy,63.7%,1.9698767413574847,https://leetcode.com/problems/baseball-game
Amazon,759,Employee Free Time,Hard,66.2%,1.9498164040223784,https://leetcode.com/problems/employee-free-time
Amazon,281,Zigzag Iterator,Medium,58.4%,1.9424197441155449,https://leetcode.com/problems/zigzag-iterator
Amazon,1091,Shortest Path in Binary Matrix,Medium,38.2%,1.9257261904488205,https://leetcode.com/problems/shortest-path-in-binary-matrix
Amazon,1120,Maximum Average Subtree,Medium,61.9%,1.9180337795270583,https://leetcode.com/problems/maximum-average-subtree
Amazon,185,Department Top Three Salaries,Hard,34.5%,1.9085241431117688,https://leetcode.com/problems/department-top-three-salaries
Amazon,150,Evaluate Reverse Polish Notation,Medium,36.3%,1.9012041599672846,https://leetcode.com/problems/evaluate-reverse-polish-notation
Amazon,10,Regular Expression Matching,Hard,26.8%,1.8952971922607,https://leetcode.com/problems/regular-expression-matching
Amazon,564,Find the Closest Palindrome,Hard,19.7%,1.8891939196134606,https://leetcode.com/problems/find-the-closest-palindrome
Amazon,71,Simplify Path,Medium,32.6%,1.888682852832007,https://leetcode.com/problems/simplify-path
Amazon,1099,Two Sum Less Than K,Easy,60.6%,1.8844097937561664,https://leetcode.com/problems/two-sum-less-than-k
Amazon,96,Unique Binary Search Trees,Medium,52.9%,1.883023885568637,https://leetcode.com/problems/unique-binary-search-trees
